"SubjectID","Development","Gender","Age","MaritalStatus","ChildCount","Income","AgeGroup"
1,247.243493697424,2,44.468192666769,1,1,11508.0860317501,"[40,50)"
2,251.350485532021,1,33.6447486951947,4,0,19291.8628106229,"[30,40)"
3,242.798669360572,1,21.103355190251,1,2,15863.1315401085,"[20,26)"
4,252.393998771628,2,34.3419249439612,2,0,28920.5564874355,"[30,40)"
5,249.657756554854,1,59.1497909924947,1,1,33320.7828107809,"[50,60)"
6,247.101949099877,1,55.5453842221759,1,2,23833.8689852907,"[50,60)"
7,247.696615629594,1,54.4559119916521,2,0,25051.0456610151,"[50,60)"
8,246.274417666048,1,45.7473413851112,1,1,16599.8368177215,"[40,50)"
9,250.163961549083,1,47.6942825545557,3,2,17647.9889060171,"[40,50)"
10,248.536744026287,2,37.4137948304415,3,2,45165.4377775955,"[30,40)"
11,246.326406554481,1,62.7792029357515,1,0,44215.2658715228,"[60,100)"
12,243.243543984801,1,58.3206730959937,1,1,19424.8334832162,"[50,60)"
13,245.394513442877,1,21.9513036841527,3,2,49175.971339193,"[20,26)"
14,241.690813080058,1,59.3677060627379,1,2,25390.9610342145,"[50,60)"
15,242.481515284518,1,61.6099142883904,2,4,30264.2327986694,"[60,100)"
16,246.549252367215,1,44.2072023935616,2,1,22071.7014439729,"[40,50)"
17,243.089161834157,2,53.9525644076057,1,1,51868.250628235,"[50,60)"
18,250.150951434896,2,31.4929380700924,2,1,20150.8556342354,"[30,40)"
19,250.450376966242,1,45.8095839428715,1,2,41838.1787474414,"[40,50)"
20,249.884817612596,1,35.6736964611337,1,0,37847.1954812537,"[30,40)"
21,251.185826755669,1,43.5309355794452,2,3,37911.3543399314,"[40,50)"
22,249.164042934769,2,35.3372465390712,2,0,25277.316902503,"[30,40)"
23,254.259650226874,2,26.4649377823807,3,1,60994.3739534859,"[26,30)"
24,242.071481955828,2,49.7638701149262,2,0,26695.0648908519,"[40,50)"
25,216.89550102569,2,67.7710668686777,2,1,50325.1378067367,"[60,100)"
26,244.525073092269,1,27.9848226294853,4,1,9883.2368463292,"[26,30)"
27,244.929217073868,1,62.5952163892798,2,2,7366.05511534319,"[60,100)"
28,250.061607698488,2,25.3838048586622,1,1,34173.6190626586,"[20,26)"
29,248.358815130221,2,23.8599843033589,2,2,10807.5460498985,"[20,26)"
30,236.82400140939,1,20.2699130000547,6,1,22696.512713949,"[20,26)"
31,249.306238635017,1,51.5728562087752,2,1,15151.4519158666,"[50,60)"
32,241.047564496049,2,52.266943376977,1,0,16340.9454964989,"[50,60)"
33,249.06341400237,1,59.4215480093844,3,3,27861.9299296376,"[50,60)"
34,255.284443582597,2,27.3079056330025,1,1,12925.6277359195,"[26,30)"
35,246.014218010706,1,33.3664049110375,1,0,10057.2685355554,"[30,40)"
36,244.056333796215,1,52.3938455916941,6,0,64276.3794588295,"[50,60)"
37,248.717715500802,2,21.7501675048843,3,3,28739.5022955229,"[20,26)"
38,250.211526981593,1,36.7511373893358,2,1,46161.5836349478,"[30,40)"
39,248.05847633401,1,28.2587812114507,2,2,31648.0876061061,"[26,30)"
40,222.210558600674,2,67.0159309557639,1,0,15810.2743074695,"[60,100)"
41,220.518891248821,2,65.4661394925788,2,0,54561.3445447334,"[60,100)"
42,244.151068681816,1,35.3393090604804,2,1,28626.4338742342,"[30,40)"
43,247.712117093163,2,30.0556237846613,1,1,31527.3760162444,"[30,40)"
44,250.171326765497,1,52.2067769030109,7,0,40204.7134169997,"[50,60)"
45,243.128086702058,1,27.2865510261618,2,2,17877.8862812227,"[26,30)"
46,246.052529862372,2,41.4016376752406,2,0,94913.8070705046,"[40,50)"
47,242.334572483341,2,43.774777491577,2,1,48701.5499158867,"[40,50)"
48,248.217088782248,1,55.1155851520598,2,1,15683.2824133658,"[50,60)"
49,239.185290353625,1,18.5732577876188,1,2,15219.7879853416,"[0,20)"
50,253.651737796625,1,53.8473233180121,2,0,39273.9355805146,"[50,60)"
51,237.651861468545,2,49.9257256314158,4,2,13486.8194641044,"[40,50)"
52,222.891662403988,2,66.4194321646355,2,0,23743.6499896141,"[60,100)"
53,234.565972426196,2,56.6163861928508,2,1,7613.45517622326,"[50,60)"
54,218.821477875567,2,68.9868475347757,2,1,36667.3380105715,"[60,100)"
55,244.280003462119,1,49.4283970394172,1,3,14920.2696970063,"[40,50)"
56,246.107848334874,1,39.5124969254248,2,0,27614.9990733734,"[30,40)"
57,252.027603796992,1,46.7524271057919,1,1,8425.96735621279,"[40,50)"
58,231.290594262087,2,54.9147771825083,1,2,11102.912891211,"[50,60)"
59,248.368377045325,1,50.725943881087,1,1,38215.3077315309,"[50,60)"
60,248.576133052293,1,40.6889769430272,2,0,7920.39805411413,"[40,50)"
61,251.049818794408,1,54.7939472547732,3,3,13454.1109458301,"[50,60)"
62,240.375419900458,1,18.7277977187186,3,1,13206.8749804034,"[0,20)"
63,247.317636477646,1,49.4900982077233,1,0,40774.1850694917,"[40,50)"
64,239.787033307724,2,50.9843120039441,2,0,30990.8978946301,"[50,60)"
65,236.168385469221,1,18.9965373203158,3,2,53333.2180486206,"[0,20)"
66,244.477971933629,1,25.2112534428015,2,0,36492.5991586793,"[20,26)"
67,244.601477252979,1,64.098052628804,3,0,41900.393374219,"[60,100)"
68,220.909879592141,2,65.6070316364057,1,0,10785.7985950542,"[60,100)"
69,243.196420550554,1,66.1867005699314,1,3,22512.0468710141,"[60,100)"
